run,class_id,class_name,n_seeds,f1_mean,f1_std,precision_mean,recall_mean
cnn,0,T-shirt/top,3,0.8720495238551513,0.0055551809059286635,0.8715494291905307,0.8726666666666667
cnn,1,Trouser,3,0.9882956218013638,0.001433011647753038,0.9916282085139517,0.985
cnn,2,Pullover,3,0.8781271732888114,0.00605829561303289,0.8666321993589081,0.89
cnn,3,Dress,3,0.9145640618402169,0.002236267674229447,0.898412691382336,0.9313333333333333
cnn,4,Coat,3,0.8755744901534928,0.0015378210804092467,0.8786494486458744,0.8726666666666667
cnn,5,Sandal,3,0.9856735005644122,0.002693034865327971,0.9857009241413379,0.9856666666666667
cnn,6,Shirt,3,0.7693325252856807,0.007449885807853387,0.7938422150402457,0.747
cnn,7,Sneaker,3,0.9657244603251682,0.0032286811052078205,0.9551121414976569,0.9766666666666667
cnn,8,Bag,3,0.9835070603917334,0.001344886232977818,0.9830169038190277,0.984
cnn,9,Ankle boot,3,0.9717485916752574,0.003121595210772412,0.9803467723048397,0.9633333333333333
cnn_aug,0,T-shirt/top,3,0.8702324727095915,0.001547812756760616,0.866517828536819,0.874
cnn_aug,1,Trouser,3,0.9896207663938469,0.0015452387461587515,0.9939515309838709,0.9853333333333333
cnn_aug,2,Pullover,3,0.8712285589955457,0.009397620696638145,0.8675046295871641,0.8773333333333333
cnn_aug,3,Dress,3,0.9142762346528124,0.000319506928053543,0.8993882697168454,0.9296666666666668
cnn_aug,4,Coat,3,0.8610899245358993,0.01812453114196343,0.8674126343831777,0.8553333333333333
cnn_aug,5,Sandal,3,0.979721887316834,0.004842751183174255,0.9845130788476638,0.975
cnn_aug,6,Shirt,3,0.7458527782027926,0.004365551835212687,0.7616982265238227,0.732
cnn_aug,7,Sneaker,3,0.9558599965251227,0.0016819637818966111,0.9483056853845361,0.9636666666666667
cnn_aug,8,Bag,3,0.9853119678570295,0.0012014410417534934,0.9869846805531135,0.9836666666666667
cnn_aug,9,Ankle boot,3,0.9623258358623622,0.00157142097070561,0.9626953826385722,0.962
cnn_crop,0,T-shirt/top,3,0.8499494649348123,0.0075712948492939755,0.8278830288496952,0.8736666666666667
cnn_crop,1,Trouser,3,0.9839545933278087,0.0012769647541879341,0.9869414261445695,0.981
cnn_crop,2,Pullover,3,0.8562488064693689,0.0006197117505313353,0.8495628286696472,0.8646666666666667
cnn_crop,3,Dress,3,0.8963441679150117,0.0020038010435953096,0.8911509001676026,0.902
cnn_crop,4,Coat,3,0.8372164407503286,0.010352782822072526,0.8314283398170208,0.8436666666666667
cnn_crop,5,Sandal,3,0.9789697629069669,0.0024386596540228673,0.9806288387594562,0.9773333333333333
cnn_crop,6,Shirt,3,0.6968176106342069,0.019358423519580954,0.739087909367988,0.661
cnn_crop,7,Sneaker,3,0.9571422195226047,0.004737804875487292,0.9501911802746285,0.9643333333333333
cnn_crop,8,Bag,3,0.9823862433862434,0.0031577462507395787,0.9798136482939632,0.985
cnn_crop,9,Ankle boot,3,0.965648945092093,0.0022443691969164003,0.970741688535307,0.9606666666666667
mlp,0,T-shirt/top,3,0.8458261534224922,0.005811814436567461,0.8413054889607835,0.8506666666666667
mlp,1,Trouser,3,0.9789487174187986,0.0017171579079460005,0.9894621534859194,0.9686666666666667
mlp,2,Pullover,3,0.8046207450218699,0.003349492517549168,0.8170943753547302,0.793
mlp,3,Dress,3,0.8898079907492231,0.008476853761971577,0.8798852831298776,0.9006666666666667
mlp,4,Coat,3,0.8155963058864522,0.004879780194009299,0.7860533943542374,0.8476666666666667
mlp,5,Sandal,3,0.9666646438926644,0.00324064084844598,0.9711484920331704,0.9623333333333333
mlp,6,Shirt,3,0.6985728487476816,0.0021190730046689106,0.7289374448173916,0.671
mlp,7,Sneaker,3,0.9488525824231131,0.002473732801532491,0.9396354201300765,0.9583333333333333
mlp,8,Bag,3,0.9732618255883817,0.001561481618313257,0.9698866618359316,0.9766666666666667
mlp,9,Ankle boot,3,0.9611034962698203,0.0033615607271140022,0.9629271055311269,0.9593333333333333
