run,model,augment,aug_kind,lr,n_seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
mlp,mlp,False,none,0.0003,3,0.8888333333333334,0.0014571661996262593,0.8883255309420497,0.001713505562044067
cnn,cnn,False,none,0.0003,3,0.9208333333333334,0.0022941955743426374,0.9204597009181287,0.002278128515709817
cnn_aug,cnn,True,flip_shift,0.0003,3,0.9138,0.0027874719729532823,0.9135520423051837,0.0032286471029084707
cnn_crop,cnn,True,crop,0.0003,3,0.9013333333333333,0.003592121007612822,0.9004678254939446,0.0042820162839939885
