lr,best_val_loss,best_val_acc,best_epoch,epochs_ran
0.001,0.19436202094952265,0.9288333333333333,11,16
0.0003,0.18633899668852488,0.9328333333333333,25,30
0.0001,0.21114791667461394,0.9208333333333333,30,30
